album_name,track_name,artist,featuring,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode
Red,The Last Time,Taylor Swift,Gary Lightbody,0.505,0.443,2,-7.039,1,0.0276,0.035,3.15e-6,0.0921,0.123,94.069,4,298293,FALSE,D,major,D major
Red,Holy Ground,Taylor Swift,NA,0.627,0.816,4,-6.698,1,0.0774,0.0162,0.00208,0.0966,0.648,157.043,4,201853,FALSE,E,major,E major
Red,Sad Beautiful Tragic,Taylor Swift,NA,0.624,0.34,7,-12.411,1,0.029,0.632,0.0337,0.121,0.261,129.987,3,283680,FALSE,G,major,G major
Red,The Lucky One,Taylor Swift,NA,0.706,0.499,4,-7.675,1,0.0369,0.0371,0,0.132,0.545,117.937,4,240133,FALSE,E,major,E major
Red,Everything Has Changed,Taylor Swift,Ed Sheeran,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89e-6,0.303,0.436,80.017,4,243933,FALSE,F#,major,F# major
Red,Starlight,Taylor Swift,NA,0.649,0.777,9,-5.804,1,0.0406,0.0213,3.35e-4,0.221,0.587,126.018,4,217827,FALSE,A,major,A major
Red,Begin Again,Taylor Swift,NA,0.53,0.526,7,-8.349,1,0.0263,0.199,3.52e-6,0.232,0.323,79.025,4,237613,FALSE,G,major,G major
Red,The Moment I Knew,Taylor Swift,NA,0.62,0.506,7,-7.327,1,0.0312,0.187,1.47e-5,0.102,0.275,126.015,4,285560,FALSE,G,major,G major
Red,Come Back...Be Here,Taylor Swift,NA,0.483,0.548,4,-6.291,1,0.0254,0.00471,2.01e-6,0.0997,0.217,79.926,4,222707,FALSE,E,major,E major
Red,Girl At Home,Taylor Swift,NA,0.733,0.59,5,-5.86,1,0.0284,0.272,0,0.136,0.633,125.048,4,220320,FALSE,F,major,F major
Red,Treacherous (Original Demo Recording),Taylor Swift,NA,0.828,0.64,2,-8.248,1,0.0355,0.175,6.14e-5,0.0996,0.519,109.993,4,239720,FALSE,D,major,D major
Red,Red (Original Demo Recording),Taylor Swift,NA,0.678,0.902,1,-4.659,0,0.0358,0.113,2.35e-4,0.0722,0.637,124.998,4,226280,FALSE,C#,minor,C# minor
Red,State Of Grace (Acoustic Version),Taylor Swift,NA,0.626,0.118,7,-15.91,1,0.0305,0.664,1.69e-4,0.127,0.0682,105.597,4,323080,FALSE,G,major,G major
Red (Taylor's Version),State Of Grace (Taylor's Version),Taylor Swift,NA,0.594,0.713,9,-5.314,1,0.0503,3.28e-4,0,0.114,0.328,129.958,4,295413,FALSE,A,major,A major
Red (Taylor's Version),Red (Taylor's Version),Taylor Swift,NA,0.516,0.777,1,-4.908,0,0.0375,0.00108,1.62e-6,0.0761,0.408,125.047,4,223093,FALSE,C#,minor,C# minor
Red (Taylor's Version),Treacherous (Taylor's Version),Taylor Swift,NA,0.645,0.593,2,-6.506,1,0.0288,0.0344,1.27e-4,0.13,0.299,109.984,4,242720,FALSE,D,major,D major
Red (Taylor's Version),I Knew You Were Trouble (Taylor's Version),Taylor Swift,NA,0.584,0.557,6,-6.371,1,0.0342,0.0129,0,0.0576,0.767,154.008,4,219760,FALSE,F#,major,F# major
Red (Taylor's Version),All Too Well (Taylor's Version),Taylor Swift,NA,0.44,0.528,0,-7.809,1,0.0317,0.0171,0.00203,0.234,0.132,185.972,4,329160,FALSE,C,major,C major
Red (Taylor's Version),22 (Taylor's Version),Taylor Swift,NA,0.642,0.695,7,-5.62,1,0.0281,4.43e-4,1.02e-5,0.0753,0.642,103.984,4,230960,FALSE,G,major,G major
Red (Taylor's Version),I Almost Do (Taylor's Version),Taylor Swift,NA,0.511,0.559,4,-6.587,1,0.0264,0.0167,0,0.113,0.248,145.88,4,244587,FALSE,E,major,E major
Red (Taylor's Version),We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,NA,0.567,0.686,7,-6.139,1,0.175,0.0317,1.86e-6,0.0732,0.716,172.014,4,193147,FALSE,G,major,G major
Red (Taylor's Version),Stay Stay Stay (Taylor's Version),Taylor Swift,NA,0.693,0.681,0,-7.039,1,0.025,0.0848,0,0.0768,0.663,100.02,4,205787,FALSE,C,major,C major
Red (Taylor's Version),The Last Time (Taylor's Version),Taylor Swift,Gary Lightbody,0.502,0.534,2,-5.954,1,0.0278,0.0399,0,0.0977,0.155,94.05,4,299080,FALSE,D,major,D major
Red (Taylor's Version),Holy Ground (Taylor's Version),Taylor Swift,NA,0.622,0.809,9,-5.623,1,0.0638,0.0288,0.00218,0.109,0.511,156.894,4,202960,FALSE,A,major,A major
